序号,题目,主体类型,人物运动,能力专项,非人运动,Prompt类型,镜头语言,英文,prompt字数,题目来源,视频URL
48,"A traditional Chinese pavilion with curved roof tiles in a misty rain. Water droplets fall from the eaves, creating ripples in the pond below. Cut to a close-up of a koi fish surfacing through the ripples. Cut back to wide shot of the pavilion in the mist.","动物,人造空间",,,动物运动,叙述性描述,多镜头,英文,47,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0047.mp4
49,"Cinematic portrait. Camera starts on an extreme close-up of a Latina woman's eye, reflecting a golden sunset. She blinks and a tear traces down her cheek, catching the light. The camera pulls back as she turns, revealing warm olive skin and dark curly hair. She walks toward a full-length mirror, studying her reflection. She touches her neck, then unclasps a pearl necklace and sets it on the vanity. In the mirror's reflection, a second woman enters the room behind her carrying a silk shawl. The first woman turns, accepts the shawl, and drapes it over her shoulders. The camera circles both women as they face the mirror together. Cut to a wide shot through the window from outside: both silhouettes framed against warm interior light as evening deepens to blue hour. Style: Hyper-realistic, 8K, 35mm film, shallow depth of field.",人物,"社会互动,情绪表情",画面构图,,专业影视语言,"运镜,多镜头",英文,140,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0048.mp4
50,"Steadicam long take. Back shot of a man leaving a warm yellow-lit café, pushing the door open onto a cool-toned busy street. He sidesteps a cyclist, nearly collides with a woman carrying grocery bags who shoots him an annoyed look. He jogs across the crosswalk as the signal flashes red, a taxi honking behind him. He descends into a subway staircase — the lighting shifts to harsh fluorescent. On the platform, he squeezes past a busker playing violin and a group of tourists checking a map. A train arrives with a gust of wind that ruffles his coat. He boards, grabs a pole, and through the closing doors the busker's music fades. Inside the car, he finds a seat next to an elderly woman knitting; the train lurches forward and he steadies himself. No cuts throughout.",人物,日常行为,画面构图,,专业影视语言,运镜,英文,136,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0049.mp4
51,A green train slowly approaches from the distance.,物体,,,刚体位移,日常白话,,英文,8,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0050.mp4
52,"A traveler walks into a serene forest at dawn, then arrives at a valley full of blooming flowers to admire the scenery. Several birds fly overhead in a flock, white clouds drifting by, tranquil and beautiful. Finally, he reaches a cliff edge and sees a waterfall cascading down the opposite mountain — magnificent and grand.","人物,自然景观",日常行为,,,日常白话,,英文,55,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0051.mp4
53,"In the distance, snow-capped mountains; in focus, a little squirrel hibernating.",动物,,画面构图,静态/微动,叙述性描述,,英文,11,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0052.mp4
54,"Cinematic shot at dusk, golden sky over Paris Champs-Élysées with classic European architecture. ",人造空间,,,静态/微动,叙述性描述,,英文,13,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0053.mp4
55,"Close-up of an orange tabby cat lying in the grass, slowly opening its mouth for a big yawn, tongue visible. Medium shot of the cat rolling over belly-up, stretching with all four paws in the air, the pattern on its belly rising and falling with each breath. Close-up of sunlight warming the cat's face, eyes slowly squinting shut, ears twitching slightly as it drifts off to sleep.",动物,,,动物运动,叙述性描述,多镜头,英文,67,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0054.mp4
56,"Suddenly, rain begins to fall from the sky, and raindrops land on the emerald green lotus leaves.",自然景观,,,流体/软体,日常白话,,英文,17,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0055.mp4
57,The panda is eating bamboo.,动物,,,动物运动,日常白话,,英文,5,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0056.mp4
58,一只金毛犬在草坪上奔跑，镜头切换为侧面中景慢动作，捕捉犬只跃起接住飞盘的瞬间，最后展现犬只叼着飞盘回到主人脚边时摇尾的场景。,动物,,,动物运动,叙述性描述,"多镜头,时间操控",中文,62,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0057.mp4
59,"Camera very close to the ground. A midsummer afternoon, sunlight casting shadows through venetian blinds. A golden retriever lies on the windowsill, breathing in and out, body gently expanding and contracting.",动物,,,动物运动,叙述性描述,,英文,31,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0058.mp4
60,"A girl rides her bicycle through a cherry blossom tunnel, petals drifting down.",人物,日常行为,,,日常白话,,英文,13,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0059.mp4
61,"A ten-year-old boy singing. First, a wide shot of a spacious cozy room. Then closer — the boy, average build, stands on tiptoe, waves his hands, body swaying with the song. Close-up on his face: deeply immersed, mouth following the lyrics, head nodding gently, expression innocent yet earnest.",人物,"表演艺术,情绪表情",,,叙述性描述,多镜头,英文,48,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0060.mp4
62,"Using an 85mm prime lens at f/1.4, Steadicam smoothly follows a Peking Opera actress in a dark green qipao as she completes the final eyebrow stroke in her backstage dressing room. The lens pulls from an extreme hand close-up to a medium shot including the bronze mirror's reflection, with prop boxes and costumes forming soft bokeh layers.",人物,精细操作,画面构图,,专业影视语言,运镜,英文,57,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0061.mp4
63,"基础设定】  

机器人清道夫：身形修长的人形机器人，1960年代原子朋克风格设计。拥有自主意识。面部led显示屏代替五官，显示马像素风格的表情（表情无动态效果，保持静帧显示，表情切换带有科幻感音效）。身穿美式西部牛仔复古风格的生棕色牛仔帽、黑色哑光高腰设计皮衣夹克、黑色哑光皮手套、牛仔腰带和枪套。 

非洲鸵鸟：成年非洲公鸵鸟，样貌看起来呆傻，双眼歪斜不对称，歪吐着舌头。 

雷管炸弹：圆柱体雷管炸弹，长15cm，直径5cm，顶部有按钮开关，按下按钮后启动，内部管铜线材开始充能发热，散发出橙红色高光，充能到达峰值后爆炸，爆炸威力巨大。 

丧尸：多只腐烂惊悚的丧尸，头发凌乱，皮肤溃烂，肤色灰白暗沉，布满破损伤口与污痕，眼球浑浊发白、瞳孔无光，露出尖锐泛黄的腐烂獠牙，表情狰狞；身着破乱不堪的海滩度假风和日常休闲装，皮肤与衣物沾满血渍与腐败肌理。 

场景：1960年代美式复古原子朋克城市街道，刚刚爆发丧尸危机，大战过后的城市，历过一场战斗的死寂。盛夏烈日当空，复古未来主义，复古乌托邦，冷战太空风流线型建筑，混乱场景，破损报废的复古老爷车，散落的报纸，地面有血渍，60年代临街商铺，圆润穹顶科幻楼宇。场景四处均有丧尸的尸体。

声音：不需要配乐，不要氛围音，仅保留同期声。  

【氛围与画质】  

风格核心：原子朋克、丧尸危机、末日爱情、电影级质感 、超写实、极致逼真、Photirealism-真人实景拍摄、杜绝游戏CG感、杜绝动作迟钝僵硬。凸显末日逃亡，惊险追逐的刺激感、危机感、紧迫感。 

视觉基调：变形宽荧幕电影质感。使用IMAX胶片摄影机，搭配Panavision C系列镜头（添加动态模糊）拍摄。 

色彩与影调：60年代复古科幻原子朋克美学，复古暖橙+海盐蓝高对比色调，胶片颗粒质感，低饱和度复古胶片滤镜，采用自然日光照明，强直射日光，自然日光光晕；画面明暗对比强烈，高光不过曝，暗部保留完整细节，明暗过渡自然，营造自然立体的光影氛围，带轻微复古胶片柔光质感。 

【画面内容】 

分镜：单镜头一镜到底。 

景别：近景。浅景深。长焦压缩空间。 构图：前景为鸵鸟脖子和机器人腰部以上位置，处于画面中心线右侧，占据画面二分之一面积；背景为城市街道以及远处追来的丧尸尸潮，处于画面中心线左侧。拉伸透视，人物主体与远方延伸的街道形成动态对角。 

运镜手法：固定机位，跟随随拍摄主体。 

画面内容：机器人面部LED屏幕保持蓝色冷酷表情，骑乘着鸵鸟面对镜头方向，位于街道中央，沿着笔直的公路狂奔，鸵鸟高速奔跑，翅膀微张，双脚交替蹬踏地面身体带有颠簸起伏，高速移动带有动态模糊感。在其身后的远处，有一片尾随着他们的丧尸尸潮，丧尸们面对镜头方向追杀机器人与鸵鸟。丧尸们嘶吼声此起彼伏，移动速率前后不一。街道上散落着触目惊心的尸体和血迹。机器人左手握住鸵鸟脖子，右手从身后掏出一根雷管炸弹，单手握持，右手大拇指用力按下顶部启动按钮，炸弹开始充能并发光，随即往身后高高抛出，右手顺势按压住自己帽子，轻微耸肩低头等待爆炸。片刻后炸弹从画面上方入画，精准的落在尸潮之中并爆炸。炸弹的威力惊人，爆炸的火光绚丽而巨大，丧尸们被炸飞，瞬间产生高能冲击波向四周扩散，卷起地面的灰尘与。爆炸后0.5秒，强劲的冲击波将鸵鸟与机器人瞬间推出画面。伴随迎面而来的强大推力，画面产生剧烈抖动与失焦。","人物,动物",,视觉特效,,专业影视语言,运镜,中文,1398,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0062.mp4
64,A group of students doing morning calisthenics on a school playground.,人物,运动体育,多个体/群体画面,,日常白话,,英文,11,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0063.mp4
65,A young woman walks into a bustling bar. The camera cuts to a man sitting on a barstool at the counter. Then back to the woman — a tracking shot follows as she sits down beside him and they begin drinking and chatting together.,人物,"日常行为,社会互动",,,专业影视语言,"运镜,多镜头",英文,44,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0064.mp4
66,"Inside a chaotic Wall Street trading floor, a telephoto lens captures a close-up of a sweating trader shouting frantically into a phone; then, the frame fades out and cuts to a serene Texas farm, with a wide shot revealing an endless wheat field and an old farmer working quietly.",人物,"日常行为,情绪表情",,,专业影视语言,多镜头,英文,49,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0065.mp4
67,阶梯教室里，清脆的下课铃声突然响了起来，镜头一开始特写在最前排一张写满笔记的课本上，一只拿着签字笔的手刚好在纸上重重划下最后一个重点；紧接着，镜头顺着这只手往上一抬，拍到这个大学生利索地合上书本、把包背在肩上站起身来；随后镜头开始平稳地在前面一边后退、一边平视跟拍，看着他和身边几个说说笑笑、互相打闹的同学一起涌出教室门；最后，镜头在走廊里顺势往旁边一转、拉开成全景，拍下整条走廊塞满了下课的学生、大家结伴走向阳光满地的校园大门，青春活力扑面而来。,人物,日常行为,多个体/群体画面,,专业影视语言,运镜,中文,224,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0066.mp4
68,Fixed medium shot inside a busy coffee shop. Foreground: a barista's focused hands working on latte art. Background through the floor-to-ceiling window: pedestrians and traffic on the street. Dual narrative layers advance simultaneously.,人物,精细操作,画面构图,,专业影视语言,,英文,33,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0067.mp4
69,"【Storyboard 1 - Close-up / Indoor Cool Lighting】
A close-up shot of a professional woman wearing a dark gray tailored suit and wireless earbuds in a bright modern office building. She organizes a stack of thick paper reports while speaking to the camera fluently and confidently. The interior features a large expanse of light tones with high-precision diffuse lighting, clearly defining the woman's facial structure, with realistic textures of the suit fabric's subtle patterns.

【Storyboard 2 - Full Shot / Outdoor Dynamic Public Space】
The scene transitions across a large spatial span through a smooth horizontal pan, cutting to a full shot of a morning rush-hour subway car. The woman remains composed amid the crowded commuter flow, with her face and suit assets maintaining absolute continuity across the time-space shift. She holds the overhead strap with one hand while using the other to adjust her glasses frame, engaging in natural dodging and social interactions with passing commuters.",人物,"日常行为,社会互动",,,分镜脚本,"运镜,多镜头",英文,154,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0068.mp4
